序号,通道,D1,D2,D3,D4,D5,D6,D7,autoscan,MCU,设备类型,设备测试指令,点位/测试项 待整理新测试项列,测试值,上限,下限,测试结果,是否结束,补偿,配置提示,延时
1,无,无,无,无,无,无,无,无,无,无,callsub1,电源输出确认,电源输出确认,无,24,24,无,N,无,0,0
2,无,0,0,0,0,0,0,0,无,2,无,关闭MCU所有电压输出,MCU去电,无,无,无,无,N,无,0,0
3,无,0,0,0,0,0,0,0,无,1,无,关闭MCU所有电压输出,MCU去电,无,无,无,无,N,无,0,0
4,(@501),1,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,VIN对GND阻值,调试后确定,0,100,无,N,无,0,0
5,(@501),2,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,VIN24对GND阻值,调试后确定,0,100,无,N,无,0,0
6,(@501),3,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,V12对GND阻值,调试后确定,0,100,无,N,无,0,0
7,(@501),4,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,DC_5V-LDO对GND阻值,调试后确定,0,100,无,N,无,0,0
8,(@501),5,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,MCU_DC3V3对GND阻值,调试后确定,0,100,无,N,无,0,0
9,(@501),6,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,DC5V对GND阻值,调试后确定,0,100,无,N,无,0,0
10,(@501),7,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,DC3V3_ON对GND阻值,调试后确定,0,100,无,N,无,0,0
11,(@509),无,无,无,无,无,无,无,无,无,M300,MEAS:VOLT:DC? ,C64两端电压,无,0,2.5,无,N,无,0,0
12,(@501),15,0,0,0,0,0,0,无,1,M300,MEAS:RES? ,钥匙开关断开阻值,无,0,0,无,N,无,0,0
13,(@501),15,0,0,0,1,0,0,无,1,M300,MEAS:RES? ,钥匙开关闭合阻值,无,10,3,无,N,无,0,0
15,(@501),0,0,0,0,0,1,0,无,2,无,打开到单板的24V供电,无,无,无,无,无,N,无,0,200
